Name,Rating,Review_Count,Price,Cuisine,Latitude,Longitude,Street,City,Zip
Texas de Brazil,4.0,177,$$$,Brazilian,40.43413,-80.00526,240 W Station Square Dr,Ste D1,Pittsburgh, PA 15219
Naya Cuisine,4.5,90,$$,Middle Eastern,40.4341903659557,-79.9230114,2018 Murray Ave,Pittsburgh, PA 15217
Penn Brewery,3.5,204,$$,German,40.4571416642591,-79.991501004141,800 Vinial St,Pittsburgh, PA 15212
Groceria Italiana,4.5,38,$,Grocery,40.46187,-79.94856,237 Cedarville St,Pittsburgh, PA 15224
Pastoli's Pizza, Pasta & Paisans,4.5,80,$$,Pizza,40.43588,-79.92307,1900 Murray Ave,Pittsburgh, PA 15217
The Greek Gourmet,4.5,74,$,Greek,40.4326705932617,-79.9234771728516,2130 Murray Ave,Pittsburgh, PA 15217
Sausalido,4.0,145,$$,Modern European,40.4625129699707,-79.9500045776367,4621 Liberty Ave,Pittsburgh, PA 15224
Dijlah Restaurant,4.0,90,$$,Middle Eastern,40.4699036578508,-79.9607632682451,4130 Butler St,Pittsburgh, PA 15201
Vue 412,4.0,234,$$,American (New),40.43798,-80.01817,1200 Grandview Ave,Pittsburgh, PA 15211
No. 1 Sushi Sushi,4.0,91,$$,Sushi Bars,40.441062,-80.002126,436 Market St,Pittsburgh, PA 15222
Pho Van,3.5,177,$,Vietnamese,40.4519857,-79.9824067,2120 Penn Ave,Pittsburgh, PA 15222
Bea Taco Town,4.0,83,$,Mexican,40.442413,-79.997314,633 Smithfield St,Pittsburgh, PA 15222
Benny Fierro's,4.5,75,$,Pizza,40.428394317627,-79.9788360595703,1906 E Carson St,Pittsburgh, PA 15203
Legends Eatery,4.0,130,$$,Italian,40.45657,-80.00148,500 E N Ave,Pittsburgh, PA 15212
